tuple_index,degree,n1,n2,r1,r2,exponent,ell,status,filter_mode,filter_complete,filter_tested,pool_size,filter_failed,subset_coverage_json,subset_tests_total,singular_subsets,minimum_rank_defect,certification_status
37,12,4,3,5,9,45,2,not_reached_after_verified_candidate,,,,,,,,,,not_tested
38,12,4,3,5,13,65,4,not_reached_after_verified_candidate,,,,,,,,,,not_tested
39,12,4,3,5,21,105,4,not_reached_after_verified_candidate,,,,,,,,,,not_tested
40,12,4,3,5,39,195,8,not_reached_after_verified_candidate,,,,,,,,,,not_tested
41,12,4,3,5,63,315,12,not_reached_after_verified_candidate,,,,,,,,,,not_tested
42,12,4,3,5,91,455,24,not_reached_after_verified_candidate,,,,,,,,,,not_tested
43,12,4,3,5,117,585,24,not_reached_after_verified_candidate,,,,,,,,,,not_tested
44,12,4,3,5,273,1365,48,not_reached_after_verified_candidate,,,,,,,,,,not_tested
45,12,4,3,5,819,4095,144,not_reached_after_verified_candidate,,,,,,,,,,not_tested
46,12,4,3,7,5,35,2,not_reached_after_verified_candidate,,,,,,,,,,not_tested
47,12,4,3,7,13,91,6,not_reached_after_verified_candidate,,,,,,,,,,not_tested
48,12,4,3,7,15,105,4,not_reached_after_verified_candidate,,,,,,,,,,not_tested
49,12,4,3,7,39,273,12,not_reached_after_verified_candidate,,,,,,,,,,not_tested
50,12,4,3,7,45,315,12,not_reached_after_verified_candidate,,,,,,,,,,not_tested
51,12,4,3,7,65,455,24,not_reached_after_verified_candidate,,,,,,,,,,not_tested
52,12,4,3,7,117,819,36,not_reached_after_verified_candidate,,,,,,,,,,not_tested
53,12,4,3,7,195,1365,48,not_reached_after_verified_candidate,,,,,,,,,,not_tested
54,12,4,3,7,585,4095,144,not_reached_after_verified_candidate,,,,,,,,,,not_tested
55,12,6,2,7,5,35,2,not_reached_after_verified_candidate,,,,,,,,,,not_tested
56,12,6,2,7,13,91,6,not_reached_after_verified_candidate,,,,,,,,,,not_tested
57,12,6,2,7,15,105,4,not_reached_after_verified_candidate,,,,,,,,,,not_tested
58,12,6,2,7,39,273,12,not_reached_after_verified_candidate,,,,,,,,,,not_tested
59,12,6,2,7,45,315,12,not_reached_after_verified_candidate,,,,,,,,,,not_tested
60,12,6,2,7,65,455,24,not_reached_after_verified_candidate,,,,,,,,,,not_tested
61,12,6,2,7,117,819,36,not_reached_after_verified_candidate,,,,,,,,,,not_tested
62,12,6,2,7,195,1365,48,not_reached_after_verified_candidate,,,,,,,,,,not_tested
63,12,6,2,7,585,4095,144,not_reached_after_verified_candidate,,,,,,,,,,not_tested
64,12,6,2,9,5,45,2,not_reached_after_verified_candidate,,,,,,,,,,not_tested
65,12,6,2,9,13,117,6,not_reached_after_verified_candidate,,,,,,,,,,not_tested
66,12,6,2,9,35,315,12,not_reached_after_verified_candidate,,,,,,,,,,not_tested
67,12,6,2,9,65,585,24,not_reached_after_verified_candidate,,,,,,,,,,not_tested
68,12,6,2,9,91,819,36,not_reached_after_verified_candidate,,,,,,,,,,not_tested
69,12,6,2,9,455,4095,144,not_reached_after_verified_candidate,,,,,,,,,,not_tested
70,12,12,1,13,1,13,1,not_reached_after_verified_candidate,,,,,,,,,,not_tested
71,12,12,1,13,3,39,2,not_reached_after_verified_candidate,,,,,,,,,,not_tested
72,12,12,1,13,5,65,4,not_reached_after_verified_candidate,,,,,,,,,,not_tested
73,12,12,1,13,7,91,6,not_reached_after_verified_candidate,,,,,,,,,,not_tested
74,12,12,1,13,9,117,6,not_reached_after_verified_candidate,,,,,,,,,,not_tested
75,12,12,1,13,15,195,8,not_reached_after_verified_candidate,,,,,,,,,,not_tested
76,12,12,1,13,21,273,12,not_reached_after_verified_candidate,,,,,,,,,,not_tested
77,12,12,1,13,35,455,24,not_reached_after_verified_candidate,,,,,,,,,,not_tested
78,12,12,1,13,45,585,24,not_reached_after_verified_candidate,,,,,,,,,,not_tested
79,12,12,1,13,63,819,36,not_reached_after_verified_candidate,,,,,,,,,,not_tested
80,12,12,1,13,105,1365,48,not_reached_after_verified_candidate,,,,,,,,,,not_tested
81,12,12,1,13,315,4095,144,not_reached_after_verified_candidate,,,,,,,,,,not_tested
82,12,12,1,15,7,105,4,not_reached_after_verified_candidate,,,,,,,,,,not_tested
83,12,12,1,15,13,195,8,not_reached_after_verified_candidate,,,,,,,,,,not_tested
84,12,12,1,15,91,1365,48,not_reached_after_verified_candidate,,,,,,,,,,not_tested
85,12,12,1,21,5,105,4,not_reached_after_verified_candidate,,,,,,,,,,not_tested
86,12,12,1,21,13,273,12,not_reached_after_verified_candidate,,,,,,,,,,not_tested
87,12,12,1,21,65,1365,48,not_reached_after_verified_candidate,,,,,,,,,,not_tested
